patch_id,isolation_forest_anomaly,lof_anomaly,statistical_anomaly,temporal_anomaly,consensus_anomaly,consensus_votes,is_anomaly
10000,0,0,0,1,0,1.0,0
10001,0,0,0,0,0,0.0,0
10002,1,0,1,0,1,2.0,1
10003,0,0,0,0,0,0.0,0
10004,0,0,0,0,0,0.0,0
10005,0,0,1,0,0,1.0,0
10006,0,0,1,1,1,2.0,1
10007,1,1,1,0,1,3.0,1
10008,0,0,0,1,0,1.0,0
10009,0,1,1,0,1,2.0,1
patch_10000,0,0,0,0,0,0.0,0
patch_10001,0,0,0,0,0,0.0,0
patch_10002,0,0,0,0,0,0.0,0
patch_10003,0,0,0,0,0,0.0,0
patch_10004,0,0,0,0,0,0.0,0
patch_10005,0,0,0,0,0,0.0,0
patch_10006,0,0,1,1,1,2.0,1
patch_10007,1,1,1,0,1,3.0,1
patch_10008,0,0,1,1,1,2.0,1
patch_10009,0,0,0,0,0,0.0,0
patch_10010,1,0,0,0,0,1.0,0
patch_10011,0,0,0,0,0,0.0,0
patch_10012,0,0,0,0,0,0.0,0
patch_10013,0,0,0,0,0,0.0,0
patch_10014,0,0,0,0,0,0.0,0
patch_10015,0,1,1,0,1,2.0,1
patch_10016,0,0,1,0,0,1.0,0
patch_10017,0,0,0,0,0,0.0,0
patch_10018,0,0,0,0,0,0.0,0
patch_10019,0,0,0,0,0,0.0,0
patch_10020,0,0,0,0,0,0.0,0
patch_10021,0,0,0,0,0,0.0,0
patch_10022,0,0,0,0,0,0.0,0
patch_10023,0,0,1,0,0,1.0,0
patch_10024,0,0,0,0,0,0.0,0
patch_10025,0,0,0,0,0,0.0,0
patch_10026,0,0,0,0,0,0.0,0
patch_10027,0,0,0,0,0,0.0,0
patch_10028,1,0,1,1,1,3.0,1
patch_10029,0,0,0,0,0,0.0,0
patch_10030,0,1,1,0,1,2.0,1
patch_10031,0,0,0,0,0,0.0,0
patch_10032,0,0,0,0,0,0.0,0
patch_10033,0,0,1,0,0,1.0,0
patch_10034,0,0,0,0,0,0.0,0
patch_10035,0,0,0,0,0,0.0,0
patch_10036,0,0,0,0,0,0.0,0
patch_10037,0,0,0,0,0,0.0,0
patch_10038,0,0,0,0,0,0.0,0
patch_10039,0,0,0,0,0,0.0,0
patch_10040,0,0,0,0,0,0.0,0
patch_10041,1,1,1,1,1,4.0,1
patch_10042,0,0,0,0,0,0.0,0
patch_10043,0,0,0,0,0,0.0,0
patch_10044,0,0,0,0,0,0.0,0
patch_10045,0,0,0,0,0,0.0,0
patch_10046,0,0,0,0,0,0.0,0
patch_10047,0,0,0,0,0,0.0,0
patch_10048,0,0,0,0,0,0.0,0
patch_10049,0,0,0,0,0,0.0,0
