patch_id,cluster_label
10000,0
10001,2
10002,0
10003,2
10004,2
10005,2
10006,0
10007,1
10008,2
10009,2
patch_10000,0
patch_10001,2
patch_10002,0
patch_10003,2
patch_10004,2
patch_10005,2
patch_10006,0
patch_10007,1
patch_10008,2
patch_10009,2
patch_10010,0
patch_10011,2
patch_10012,2
patch_10013,2
patch_10014,2
patch_10015,1
patch_10016,2
patch_10017,2
patch_10018,2
patch_10019,2
patch_10020,0
patch_10021,2
patch_10022,0
patch_10023,2
patch_10024,2
patch_10025,2
patch_10026,2
patch_10027,2
patch_10028,0
patch_10029,2
patch_10030,2
patch_10031,2
patch_10032,0
patch_10033,2
patch_10034,0
patch_10035,2
patch_10036,2
patch_10037,2
patch_10038,2
patch_10039,2
patch_10040,2
patch_10041,0
patch_10042,2
patch_10043,2
patch_10044,2
patch_10045,2
patch_10046,2
patch_10047,2
patch_10048,2
patch_10049,0
