patch_id,cluster_label
10000,2
10001,1
10002,0
10003,1
10004,1
10005,1
10006,2
10007,1
10008,2
10009,0
patch_10000,0
patch_10001,1
patch_10002,0
patch_10003,1
patch_10004,1
patch_10005,1
patch_10006,2
patch_10007,1
patch_10008,2
patch_10009,1
patch_10010,0
patch_10011,1
patch_10012,1
patch_10013,0
patch_10014,0
patch_10015,1
patch_10016,1
patch_10017,1
patch_10018,1
patch_10019,1
patch_10020,0
patch_10021,1
patch_10022,0
patch_10023,1
patch_10024,0
patch_10025,1
patch_10026,0
patch_10027,0
patch_10028,3
patch_10029,1
patch_10030,1
patch_10031,0
patch_10032,0
patch_10033,1
patch_10034,1
patch_10035,1
patch_10036,1
patch_10037,0
patch_10038,1
patch_10039,1
patch_10040,0
patch_10041,3
patch_10042,1
patch_10043,0
patch_10044,1
patch_10045,0
patch_10046,1
patch_10047,0
patch_10048,1
patch_10049,0
